TrialNumber,Trial_num,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI_s,ITI_s,block,Partner,ran,order,onset,bpress,resp,resp_onset,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration
79,79,$10.00 ,-$0.42,$0.00 ,won,$10.00,1.5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
80,80,$10.00 ,-$16.25,$0.00 ,won,$10.00,3,7,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
81,81,$8.00 ,$0.00,$4.25 ,lost,$0.00,3,3,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
82,82,$8.00 ,-$9.00,$0.00 ,lost,-$9.00,3,3,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
83,83,$6.00 ,-$3.00,$0.00 ,lost,-$3.00,1.5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
84,84,$6.00 ,-$4.50,$0.00 ,won,$6.00,1.5,5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
85,85,$2.00 ,-$2.25,$0.00 ,won,$2.00,1.5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
86,86,$10.00 ,-$3.75,$0.00 ,won,$10.00,3,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
87,87,$4.00 ,-$4.00,$0.00 ,won,$4.00,5,7,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
88,88,$12.00 ,-$24.00,$0.00 ,lost,-$24.00,3,3,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
89,89,$12.00 ,-$12.00,$0.00 ,won,$12.00,5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
90,90,$12.00 ,$0.00,$5.00 ,lost,$0.00,1.5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
91,91,$5.00 ,$0.00,$3.00 ,won,$5.00,1.5,5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
92,92,$30.00 ,$0.00,$12.00 ,lost,$0.00,1.5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
93,93,$4.00 ,$0.00,$2.00 ,lost,$0.00,1.5,5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
94,94,$2.00 ,-$2.75,$0.00 ,lost,-$2.75,5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
95,95,$12.00 ,-$15.00,$0.00 ,won,$12.00,1.5,3,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
96,96,$24.00 ,$0.00,$12.00 ,won,$24.00,1.5,5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
﻿TrialNumber,Trial_num,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI_s,ITI_s,block,Partner,ran,order,onset,bpress,resp,resp_onset,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,$4.00 ,-$7.00,$0.00 ,won,$4.00,1.5,1.5,1,0,1.0,0.0,4.0259466,2.0,$0.00 ,6.0295672,2.0036204,-0.0036202678,6.5686646,8.076924,8.0772,10.096929,6.0709815,10.097194,11.612298
2,2,$2.00 ,-$3.75,$0.00 ,lost,-$3.75,1.5,1.5,1,0,1.0,1.0,11.617973,999.0,999,13.630243,0.0,0.0,13.63593,17.144466,17.144634,19.16082,7.5428457,19.161041,20.677044
3,3,$8.00 ,-$1.33,$0.00 ,lost,-$1.33,5,1.5,1,0,1.0,2.0,--,--,--,--,--,--,--,--,--,--,--,--,--
4,4,$5.00 ,-$3.13,$0.00 ,lost,-$3.13,5,3,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
5,5,$8.00 ,-$11.00,$0.00 ,won,$8.00,1.5,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6,6,$4.00 ,-$0.67,$0.00 ,lost,-$0.67,5,3,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
7,7,$2.00 ,-$0.75,$0.00 ,lost,-$0.75,3,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
8,8,$7.00 ,$0.00,$3.00 ,lost,$0.00,1.5,5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
9,9,$12.00 ,-$21.00,$0.00 ,won,$12.00,1.5,3,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10,10,$12.00 ,-$3.00,$0.00 ,won,$12.00,1.5,7,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11,11,$8.00 ,-$5.00,$0.00 ,lost,-$5.00,5,5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12,12,$9.00 ,-$4.50,$0.00 ,won,$9.00,3,5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
13,13,$8.00 ,-$3.00,$0.00 ,lost,-$3.00,3,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
14,14,$12.00 ,-$9.00,$0.00 ,won,$12.00,3,3,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
15,15,$5.00 ,$0.00,$2.00 ,lost,$0.00,1.5,5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
16,16,$28.00 ,$0.00,$13.00 ,lost,$0.00,1.5,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
17,17,$4.00 ,-$5.00,$0.00 ,won,$4.00,1.5,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
18,18,$10.00 ,-$8.75,$0.00 ,lost,-$8.75,1.5,5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
19,19,$13.00 ,$0.00,$6.00 ,lost,$0.00,3,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20,20,$4.00 ,-$6.00,$0.00 ,lost,-$6.00,3,3,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
21,21,$5.00 ,-$5.00,$0.00 ,won,$5.00,5,7,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22,22,$25.00 ,$0.00,$6.25 ,won,$25.00,3,3,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
23,23,$2.00 ,-$1.75,$0.00 ,won,$2.00,1.5,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
24,24,$6.00 ,-$7.50,$0.00 ,won,$6.00,1.5,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25,25,$7.00 ,$0.00,$4.00 ,won,$7.00,1.5,7,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
26,26,$19.00 ,$0.00,$8.00 ,won,$19.00,1.5,5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
27,27,$3.25 ,$0.00,$1.00 ,won,$3.25,5,7,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
28,28,$8.00 ,-$7.00,$0.00 ,lost,-$7.00,1.5,3,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
29,29,$11.00 ,$0.00,$6.00 ,lost,$0.00,1.5,3,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
30,30,$4.00 ,-$2.00,$0.00 ,won,$4.00,1.5,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
31,31,$10.00 ,$0.00,$6.00 ,lost,$0.00,3,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
32,32,$22.00 ,$0.00,$13.00 ,won,$22.00,1.5,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
33,33,$4.00 ,-$0.33,$0.00 ,won,$4.00,5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
34,34,$17.00 ,$0.00,$10.00 ,lost,$0.00,1.5,5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
35,35,$26.00 ,$0.00,$10.00 ,won,$26.00,1.5,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
36,36,$5.00 ,-$8.13,$0.00 ,won,$5.00,5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
37,37,$2.00 ,-$3.25,$0.00 ,lost,-$3.25,1.5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
38,38,$5.00 ,-$2.50,$0.00 ,won,$5.00,3,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
39,39,$6.00 ,-$12.00,$0.00 ,won,$6.00,3,5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
40,40,$8.00 ,-$13.00,$0.00 ,lost,-$13.00,1.5,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
41,41,$6.00 ,-$1.50,$0.00 ,won,$6.00,5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
42,42,$22.00 ,$0.00,$10.00 ,lost,$0.00,1.5,7,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
43,43,$10.00 ,$0.00,$1.90 ,won,$10.00,3,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
44,44,$5.00 ,-$5.63,$0.00 ,won,$5.00,1.5,5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
45,45,$4.00 ,-$1.00,$0.00 ,lost,-$1.00,3,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
46,46,$13.00 ,$0.00,$5.00 ,lost,$0.00,1.5,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
47,47,$10.00 ,-$0.42,$0.00 ,won,$10.00,1.5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
48,48,$10.00 ,-$16.25,$0.00 ,won,$10.00,1.5,7,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
49,49,$8.00 ,$0.00,$4.25 ,lost,$0.00,5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
50,50,$8.00 ,-$9.00,$0.00 ,lost,-$9.00,3,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
51,51,$6.00 ,-$3.00,$0.00 ,lost,-$3.00,1.5,7,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
52,52,$6.00 ,-$4.50,$0.00 ,won,$6.00,3,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
53,53,$2.00 ,-$2.25,$0.00 ,won,$2.00,1.5,7,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
54,54,$10.00 ,-$3.75,$0.00 ,lost,-$3.75,1.5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
55,55,$4.00 ,-$4.00,$0.00 ,lost,-$4.00,3,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
56,56,$12.00 ,-$24.00,$0.00 ,lost,-$24.00,3,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
57,57,$12.00 ,-$12.00,$0.00 ,lost,-$12.00,5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
58,58,$12.00 ,$0.00,$5.00 ,won,$12.00,1.5,5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
59,59,$5.00 ,$0.00,$3.00 ,won,$5.00,1.5,5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
60,60,$30.00 ,$0.00,$12.00 ,lost,$0.00,1.5,5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
61,61,$4.00 ,$0.00,$2.00 ,won,$4.00,1.5,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
62,62,$2.00 ,-$2.75,$0.00 ,lost,-$2.75,1.5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
63,63,$12.00 ,-$15.00,$0.00 ,won,$12.00,1.5,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
64,64,$24.00 ,$0.00,$12.00 ,lost,$0.00,5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
65,65,$4.00 ,-$0.33,$0.00 ,won,$4.00,1.5,3,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
66,66,$17.00 ,$0.00,$10.00 ,won,$17.00,3,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
67,67,$26.00 ,$0.00,$10.00 ,lost,$0.00,5,7,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
68,68,$5.00 ,-$8.13,$0.00 ,won,$5.00,1.5,3,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
69,69,$2.00 ,-$3.25,$0.00 ,lost,-$3.25,1.5,3,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
70,70,$5.00 ,-$2.50,$0.00 ,lost,-$2.50,1.5,5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
71,71,$6.00 ,-$12.00,$0.00 ,lost,-$12.00,1.5,3,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
72,72,$8.00 ,-$13.00,$0.00 ,lost,-$13.00,3,5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
73,73,$6.00 ,-$1.50,$0.00 ,lost,-$1.50,5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
74,74,$22.00 ,$0.00,$10.00 ,lost,$0.00,1.5,7,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
75,75,$10.00 ,$0.00,$1.90 ,won,$10.00,1.5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
76,76,$5.00 ,-$5.63,$0.00 ,lost,-$5.63,5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
77,77,$4.00 ,-$1.00,$0.00 ,won,$4.00,3,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
78,78,$13.00 ,$0.00,$5.00 ,won,$13.00,1.5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
79,79,$10.00 ,-$0.42,$0.00 ,won,$10.00,1.5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
80,80,$10.00 ,-$16.25,$0.00 ,won,$10.00,3,7,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
81,81,$8.00 ,$0.00,$4.25 ,lost,$0.00,3,3,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
82,82,$8.00 ,-$9.00,$0.00 ,lost,-$9.00,3,3,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
83,83,$6.00 ,-$3.00,$0.00 ,lost,-$3.00,1.5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
84,84,$6.00 ,-$4.50,$0.00 ,won,$6.00,1.5,5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
85,85,$2.00 ,-$2.25,$0.00 ,won,$2.00,1.5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
86,86,$10.00 ,-$3.75,$0.00 ,won,$10.00,3,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
87,87,$4.00 ,-$4.00,$0.00 ,won,$4.00,5,7,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
88,88,$12.00 ,-$24.00,$0.00 ,lost,-$24.00,3,3,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
89,89,$12.00 ,-$12.00,$0.00 ,won,$12.00,5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
90,90,$12.00 ,$0.00,$5.00 ,lost,$0.00,1.5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
91,91,$5.00 ,$0.00,$3.00 ,won,$5.00,1.5,5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
92,92,$30.00 ,$0.00,$12.00 ,lost,$0.00,1.5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
93,93,$4.00 ,$0.00,$2.00 ,lost,$0.00,1.5,5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
94,94,$2.00 ,-$2.75,$0.00 ,lost,-$2.75,5,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
95,95,$12.00 ,-$15.00,$0.00 ,won,$12.00,1.5,3,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
96,96,$24.00 ,$0.00,$12.00 ,won,$24.00,1.5,5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
﻿TrialNumber,Trial_num,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI_s,ITI_s,block,Partner,ran,order,onset,bpress,resp,resp_onset,rt,ISIpad,ISI_onset,ISI_offset,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,$4.00 ,-$7.00,$0.00 ,won,$4.00,1.5,1.5,1,0,1.0,0.0,4.0152216,2.0,$0.00 ,6.020338,2.0051165,-0.005116351,6.557722,8.06369,8.064048,10.06982,6.054599,10.07008,11.584995
2,2,$2.00 ,-$3.75,$0.00 ,lost,-$3.75,1.5,1.5,1,0,1.0,1.0,11.590599,1.0,lost,13.600767,2.0101683,-0.010168211,14.137986,15.640522,15.640667,17.651535,6.0609355,17.651735,19.16727
3,3,$8.00 ,-$1.33,$0.00 ,lost,-$1.33,5,1.5,1,0,1.0,2.0,19.17214,1.0,lost,21.1831,2.0109599,-0.010959759,21.704262,26.704447,26.704615,28.713287,9.541147,28.71362,30.231285
4,4,$5.00 ,-$3.13,$0.00 ,lost,-$3.13,5,3,1,0,1.0,3.0,30.234272,1.0,lost,32.245262,2.010988,-0.010987932,32.76631,37.767654,37.76779,39.77736,9.543087,39.777588,42.795067
5,5,$8.00 ,-$11.00,$0.00 ,won,$8.00,1.5,1.5,1,0,1.0,4.0,--,--,--,--,--,--,--,--,--,--,--,--,--
6,6,$4.00 ,-$0.67,$0.00 ,lost,-$0.67,5,3,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
7,7,$2.00 ,-$0.75,$0.00 ,lost,-$0.75,3,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
8,8,$7.00 ,$0.00,$3.00 ,lost,$0.00,1.5,5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
9,9,$12.00 ,-$21.00,$0.00 ,won,$12.00,1.5,3,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10,10,$12.00 ,-$3.00,$0.00 ,won,$12.00,1.5,7,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11,11,$8.00 ,-$5.00,$0.00 ,lost,-$5.00,5,5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12,12,$9.00 ,-$4.50,$0.00 ,won,$9.00,3,5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
13,13,$8.00 ,-$3.00,$0.00 ,lost,-$3.00,3,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
14,14,$12.00 ,-$9.00,$0.00 ,won,$12.00,3,3,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
15,15,$5.00 ,$0.00,$2.00 ,lost,$0.00,1.5,5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
16,16,$28.00 ,$0.00,$13.00 ,lost,$0.00,1.5,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
17,17,$4.00 ,-$5.00,$0.00 ,won,$4.00,1.5,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
18,18,$10.00 ,-$8.75,$0.00 ,lost,-$8.75,1.5,5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
19,19,$13.00 ,$0.00,$6.00 ,lost,$0.00,3,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20,20,$4.00 ,-$6.00,$0.00 ,lost,-$6.00,3,3,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
21,21,$5.00 ,-$5.00,$0.00 ,won,$5.00,5,7,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22,22,$25.00 ,$0.00,$6.25 ,won,$25.00,3,3,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
23,23,$2.00 ,-$1.75,$0.00 ,won,$2.00,1.5,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
24,24,$6.00 ,-$7.50,$0.00 ,won,$6.00,1.5,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25,25,$7.00 ,$0.00,$4.00 ,won,$7.00,1.5,7,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
26,26,$19.00 ,$0.00,$8.00 ,won,$19.00,1.5,5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
27,27,$3.25 ,$0.00,$1.00 ,won,$3.25,5,7,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
28,28,$8.00 ,-$7.00,$0.00 ,lost,-$7.00,1.5,3,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
29,29,$11.00 ,$0.00,$6.00 ,lost,$0.00,1.5,3,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
30,30,$4.00 ,-$2.00,$0.00 ,won,$4.00,1.5,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
31,31,$10.00 ,$0.00,$6.00 ,lost,$0.00,3,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
32,32,$22.00 ,$0.00,$13.00 ,won,$22.00,1.5,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
33,33,$4.00 ,-$0.33,$0.00 ,won,$4.00,5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
34,34,$17.00 ,$0.00,$10.00 ,lost,$0.00,1.5,5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
35,35,$26.00 ,$0.00,$10.00 ,won,$26.00,1.5,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
36,36,$5.00 ,-$8.13,$0.00 ,won,$5.00,5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
37,37,$2.00 ,-$3.25,$0.00 ,lost,-$3.25,1.5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
38,38,$5.00 ,-$2.50,$0.00 ,won,$5.00,3,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
39,39,$6.00 ,-$12.00,$0.00 ,won,$6.00,3,5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
40,40,$8.00 ,-$13.00,$0.00 ,lost,-$13.00,1.5,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
41,41,$6.00 ,-$1.50,$0.00 ,won,$6.00,5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
42,42,$22.00 ,$0.00,$10.00 ,lost,$0.00,1.5,7,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
43,43,$10.00 ,$0.00,$1.90 ,won,$10.00,3,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
44,44,$5.00 ,-$5.63,$0.00 ,won,$5.00,1.5,5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
45,45,$4.00 ,-$1.00,$0.00 ,lost,-$1.00,3,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
46,46,$13.00 ,$0.00,$5.00 ,lost,$0.00,1.5,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
47,47,$10.00 ,-$0.42,$0.00 ,won,$10.00,1.5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
48,48,$10.00 ,-$16.25,$0.00 ,won,$10.00,1.5,7,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
49,49,$8.00 ,$0.00,$4.25 ,lost,$0.00,5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
50,50,$8.00 ,-$9.00,$0.00 ,lost,-$9.00,3,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
51,51,$6.00 ,-$3.00,$0.00 ,lost,-$3.00,1.5,7,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
52,52,$6.00 ,-$4.50,$0.00 ,won,$6.00,3,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
53,53,$2.00 ,-$2.25,$0.00 ,won,$2.00,1.5,7,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
54,54,$10.00 ,-$3.75,$0.00 ,lost,-$3.75,1.5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
55,55,$4.00 ,-$4.00,$0.00 ,lost,-$4.00,3,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
56,56,$12.00 ,-$24.00,$0.00 ,lost,-$24.00,3,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
57,57,$12.00 ,-$12.00,$0.00 ,lost,-$12.00,5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
58,58,$12.00 ,$0.00,$5.00 ,won,$12.00,1.5,5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
59,59,$5.00 ,$0.00,$3.00 ,won,$5.00,1.5,5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
60,60,$30.00 ,$0.00,$12.00 ,lost,$0.00,1.5,5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
61,61,$4.00 ,$0.00,$2.00 ,won,$4.00,1.5,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
62,62,$2.00 ,-$2.75,$0.00 ,lost,-$2.75,1.5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
63,63,$12.00 ,-$15.00,$0.00 ,won,$12.00,1.5,3,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
64,64,$24.00 ,$0.00,$12.00 ,lost,$0.00,5,1.5,2,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
65,65,$4.00 ,-$0.33,$0.00 ,won,$4.00,1.5,3,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
66,66,$17.00 ,$0.00,$10.00 ,won,$17.00,3,1.5,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
67,67,$26.00 ,$0.00,$10.00 ,lost,$0.00,5,7,3,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--
